fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,387,21.242894056847547,8221.0,3224.043136085103,92.1155181738601,169,114,104
4500.0,370,22.183783783783785,8208.0,3444.817183738064,76.55149297195697,187,86,97
5500.0,391,20.21994884910486,7906.0,3325.03997109059,60.45527220164709,154,113,124
6500.0,371,20.951482479784367,7773.0,3623.006985895706,55.73856901378009,164,104,103
7000.0,400,18.2625,7305.0,4540.625337306331,64.8660762472333,161,123,116
7500.0,393,18.572519083969464,7299.0,2587.8570096416292,34.504760128555056,139,137,117
8000.0,383,18.240208877284594,6986.0,4995.53109226801,62.44413865335012,179,118,86
8500.0,374,20.165775401069517,7542.0,3022.2443751427236,35.55581617814969,146,140,88
9000.0,404,19.876237623762375,8030.0,7543.77897833978,83.81976642599756,164,139,101
9500.0,364,20.63736263736264,7512.0,3377.583078571702,35.553506090228446,156,106,102
10000.0,396,19.795454545454547,7839.0,4777.814630442243,47.77814630442243,170,137,89
15000.0,380,21.07894736842105,8010.0,3403.8543434716944,22.692362289811296,162,113,105
