,SDI_Normalized,SDI_Theil
count,20.0,20.0
mean,0.9652843299472726,0.9418044008328664
std,0.05721081392106517,0.20562522212214693
min,0.8358633828930295,0.5872679715479269
25%,0.9358436522362014,0.8327803095568371
50%,0.9714871360103123,0.9263379879292128
75%,0.9912762043963721,1.04535425073237
max,1.0885886980961572,1.3602455083273812
