fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,7.9548331500874845,3.140961655508214,1.1358178699516621,3.6780536246276085,68.0%,62.9%,45.1%,67.7%,33.5%,17.4%,46.2%,75.1%,76.3%,2.8%,3.1%,17.3%,24.10322580645161,19.826446280991735,17.28421052631579,20.962264150943398
4500.0,9.56625093197857,1.6973469387755102,2.6200171657448053,5.248886827458254,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,23.937142857142856,24.85981308411215,16.990909090909092,22.239795918367346
5500.0,7.28259209499933,2.5175784398493484,1.912105136243067,2.852908518906915,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,26.475138121546962,22.045454545454547,21.1046511627907,23.957559681697614
6500.0,5.6908136196222365,1.8555127345844475,0.08851098804328927,3.7467898969944997,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,23.68125,21.73722627737226,18.07894736842105,21.82573726541555
7000.0,8.15952728759584,3.04417151475975,0.8387989962793121,4.276556776556777,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,23.725490196078432,19.84251968503937,16.404761904761905,20.681318681318682
7500.0,8.697965502363395,3.0240238484919324,2.666867734152227,3.007073919719236,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,23.752747252747252,18.061855670103093,17.721649484536083,20.72872340425532
8000.0,5.261493645162194,1.6544094321666485,0.21938775510204067,3.3876964578935045,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,22.088082901554404,20.214285714285715,17.04597701149425,20.433673469387756
8500.0,6.501765473341308,1.4114583333333321,1.4687952898550698,3.621511850152906,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,18.96875,19.026086956521738,13.935779816513762,17.557291666666668
9000.0,4.780625261868696,2.0228985507246406,0.36544600938967164,2.392280701754384,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%,21.036231884057973,18.64788732394366,16.621052631578948,19.013333333333332
9500.0,3.1999918079417426,1.0704598930481275,0.18178723404255237,1.9477446808510628,54.1%,78.4%,76.9%,63.3%,64.2%,33.2%,60.1%,37.8%,68.8%,69.6%,66.3%,75.9%,22.422459893048128,21.170212765957448,19.404255319148938,21.352
10000.0,6.65846780866508,2.5909117979870153,0.8051707729724029,3.2623852377056615,29.4%,76.0%,32.2%,74.6%,77.4%,49.7%,47.0%,9.8%,2.1%,10.4%,1.4%,73.0%,22.528735632183906,19.132653061224488,16.67543859649123,19.93782383419689
15000.0,6.467544083995154,1.5867391304347827,0.9531578947368438,3.9276470588235277,46.9%,75.0%,71.2%,75.3%,54.2%,36.8%,55.7%,16.9%,65.7%,41.0%,45.8%,43.4%,20.89673913043478,20.263157894736842,15.382352941176471,19.31
