fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,12.771051265092474,4.549938312340402,4.377259489857401,3.8438534628946712,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,27.032967032967033,18.10576923076923,18.63917525773196,22.48302872062663
4500.0,4.371152429734284,1.3841925972576057,0.2786244031291254,2.708335429347553,10.5%,73.9%,77.6%,34.8%,35.0%,22.2%,79.6%,24.2%,64.5%,13.0%,15.4%,13.0%,22.76243093922652,21.65686274509804,18.66990291262136,21.378238341968913
5500.0,10.22750364911526,3.746759225429301,2.5898202514318633,3.8909241722540955,77.3%,51.2%,75.5%,70.3%,39.0%,62.2%,32.6%,5.6%,67.8%,25.4%,48.2%,57.7%,24.097142857142856,17.760563380281692,16.45945945945946,20.350383631713555
6500.0,7.148035886731723,2.864113043753761,2.7548223138774333,1.5291005291005284,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,22.059880239520957,16.440944881889763,17.666666666666668,19.195767195767196
7000.0,4.707949897051023,1.369644400543276,0.08617977528090037,3.2521257212268466,66.6%,70.0%,7.2%,32.4%,63.2%,22.8%,15.1%,25.5%,69.0%,23.4%,5.2%,53.3%,26.175824175824175,24.72,21.554054054054053,24.8061797752809
7500.0,7.253055669709404,2.591962402687013,4.374790619765491,0.2863026472568997,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,23.383419689119172,16.416666666666668,20.50515463917526,20.79145728643216
8000.0,11.468395041283262,4.288520128967374,0.2855254111798615,6.894349501136027,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,29.07909604519774,24.505050505050505,17.89622641509434,24.790575916230367
8500.0,5.947074950566346,1.3464172962002507,0.8509903961584655,3.74966725820763,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,21.226519337016576,20.73109243697479,16.130434782608695,19.880102040816325
9000.0,8.775935458989663,3.394691097016679,0.3659913577834253,5.015253004189558,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,24.206060606060607,20.445378151260503,15.79611650485437,20.811369509043928
9500.0,4.889367118204575,2.0433473810957246,2.109746109746112,0.7362736273627384,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%,25.225165562913908,21.07207207207207,22.445544554455445,23.181818181818183
10000.0,5.97163672138775,0.7022128629129689,1.925745290495641,3.34367856797914,41.6%,73.1%,53.1%,33.1%,11.6%,25.0%,22.3%,71.2%,53.1%,52.9%,51.8%,26.5%,23.180722891566266,24.404255319148938,19.134831460674157,22.478510028653297
15000.0,10.74202236077566,3.687531345778769,3.1470484394859497,3.9074425755109417,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.875675675675677,19.041095890410958,18.280701754385966,22.188144329896907
