fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
1000.0,20.07412506137095,9.950639204545453,5.611382885514018,4.512102971311476,59.7%,56.4%,58.1%,56.5%,33.9%,32.9%,25.3%,32.7%,9.9%,10.0%,18.5%,6.7%,28.954545454545453,13.392523364485982,14.491803278688524,19.00390625
1500.0,14.183659579984443,5.647005444646098,2.78796992481203,5.748684210526315,55.3%,54.4%,49.9%,48.6%,43.7%,26.9%,27.6%,33.3%,17.7%,3.4%,12.2%,7.8%,23.620689655172413,15.185714285714285,12.225,17.973684210526315
2000.0,6.264673470819304,2.152642045454545,0.2762738496071826,3.835757575757576,49.8%,63.4%,52.5%,58.7%,27.9%,29.9%,36.7%,36.3%,18.7%,1.8%,18.2%,14.8%,17.3671875,14.938271604938272,11.378787878787879,15.214545454545455
2500.0,4.359105535901602,1.1952508960573454,0.43112046127473747,2.732734178569519,54.0%,69.8%,58.9%,61.0%,42.4%,28.7%,37.1%,28.4%,17.8%,5.0%,8.0%,6.0%,17.525,16.76086956521739,13.597014925373134,16.329749103942653
3000.0,1.563305443610762,0.5165409914968713,0.2566692880043533,0.7900951641095375,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%,18.243478260869566,17.983606557377048,16.936842105263157,17.726937269372694
3500.0,4.041434546913589,1.4529754473574688,0.36428149024246004,2.22417760931366,53.7%,64.4%,62.0%,56.4%,35.3%,25.4%,31.0%,39.5%,15.2%,5.1%,14.6%,19.4%,17.35185185185185,16.263157894736842,13.674698795180722,15.898876404494382
4000.0,1.692093824966534,0.5781495781495778,0.057769359656152375,1.0561748871608039,65.0%,62.9%,55.1%,64.9%,29.5%,32.7%,38.0%,30.3%,5.2%,7.2%,8.6%,15.7%,18.296296296296298,17.660377358490567,16.661971830985916,17.71814671814672
4500.0,3.4797872249867456,1.097097494418259,1.208379179009734,1.1743105515587526,60.0%,58.8%,53.2%,56.4%,41.1%,32.6%,31.7%,38.0%,17.6%,4.9%,9.7%,14.8%,15.917241379310346,13.611764705882353,13.645833333333334,14.820143884892087
5000.0,5.016770517139234,2.1509489394206476,2.0468251619479787,0.8189964157706076,58.2%,64.5%,51.2%,52.5%,44.5%,41.3%,36.4%,28.0%,15.5%,3.6%,16.6%,8.6%,18.80327868852459,14.605504587155963,15.833333333333334,16.65232974910394
6000.0,4.302448682010736,1.3867924528301891,0.47894736842105345,2.4367088607594933,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%,16.88679245283019,15.978947368421053,13.063291139240507,15.5
7000.0,3.544707585267357,0.4883889039486764,0.7064722911497103,2.3498463901689703,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%,15.445378151260504,15.663461538461538,12.607142857142858,14.956989247311828
8000.0,3.371106919614382,1.1859748874674256,1.0060275545350166,1.17910447761194,59.9%,66.1%,57.9%,55.7%,37.4%,37.8%,42.8%,20.1%,15.6%,5.6%,19.6%,19.1%,15.865079365079366,13.673076923076923,13.5,14.67910447761194
