fps,avg_pct_used,avg_low_pct,avg_middle_pct,avg_high_pct
1000.0,100.0,62.58540841537872,31.637107914025403,5.777483670595854
1500.0,100.0,65.35843263069957,28.84767617067796,5.793891198622487
2000.0,98.57168239372338,65.08730921141272,28.80116763519655,6.111523153390769
2500.0,90.61548852115901,62.8946428915781,34.162247570223364,2.9431095381985313
3000.0,89.76713181602699,65.16329162768739,29.364910792461195,5.471797579851421
3500.0,74.14806998239085,64.81326821790186,28.191670773105816,6.99506100899232
4000.0,65.53790310152928,65.03537020897888,29.288628242623222,5.676001548397912
4500.0,58.916460295378116,68.97443379095968,25.642215982475697,5.3833502265646045
5000.0,51.82934811379863,64.41692788738612,30.998782265989167,4.584289846624715
6000.0,44.59186307682769,67.8667749855304,28.106816142712155,4.026408871757468
7000.0,38.73380089269678,68.11099134854116,25.90939076585881,5.979617885599994
8000.0,31.696584719555798,59.947699582923,33.56900430187073,6.483296115206242
