fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,5.597745430079566,1.9084821428571423,0.3481809701492544,3.3410823170731696,58.7%,45.2%,17.7%,23.3%,65.6%,11.7%,13.0%,16.9%,61.7%,42.0%,36.1%,27.1%,24.017857142857142,21.761194029850746,18.76829268292683,22.109375
4500.0,6.605992880713368,0.34837398373983675,3.0691131498470945,3.1885057471264364,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,18.51829268292683,21.93577981651376,15.67816091954023,18.866666666666667
5500.0,10.199152924420414,4.401733919806208,5.049846839320523,0.7475721652936826,38.7%,72.7%,47.0%,48.6%,49.8%,61.6%,75.5%,23.7%,20.9%,37.3%,64.1%,68.1%,28.301204819277107,18.849624060150376,23.151898734177216,23.8994708994709
6500.0,8.299863863302395,4.012722646310433,0.21528674887453292,4.071854468117429,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,24.666666666666668,20.869230769230768,16.582089552238806,20.653944020356235
7000.0,7.425856868982521,2.845064336470138,1.6694689479604534,2.91132358455193,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%,23.01829268292683,18.50375939849624,17.261904761904763,20.173228346456693
7500.0,9.96383703549006,0.4575584966772759,3.1499343832020976,6.356344155610687,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,21.26595744680851,23.958333333333332,14.452054794520548,20.808398950131235
8000.0,8.209706917716971,3.2822135091784013,3.7162205653596523,1.211272843178918,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,24.483870967741936,17.485436893203882,19.990384615384617,21.201657458563535
8500.0,5.240160708725188,0.2175889500830479,2.025106945284328,2.997464813357812,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,21.096774193548388,19.289256198347108,24.311827956989248,21.314363143631436
9000.0,8.740253486129658,3.0546031746031765,0.36359126984127244,5.322059041685209,55.1%,66.2%,67.4%,48.2%,79.0%,6.1%,11.7%,61.8%,75.4%,59.2%,11.2%,63.6%,21.451428571428572,18.760416666666668,13.074766355140186,18.396825396825395
9500.0,9.057067949752106,2.2245891661594612,1.5792050691244235,5.2532737144682216,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.547169811320753,24.901785714285715,18.06930693069307,23.322580645161292
10000.0,6.957931911435395,1.890611649997485,4.364387379317211,0.7029328821206988,79.5%,78.9%,52.7%,64.1%,48.0%,17.5%,33.0%,11.4%,59.3%,45.6%,34.4%,19.5%,17.99009900990099,24.245098039215687,19.177777777777777,19.880710659898476
15000.0,8.196493959619904,3.3183831326804345,2.0281534526854195,2.84995737425405,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,23.658536585365855,18.312,17.49019607843137,20.34015345268542
