fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,15.575526777427612,6.83396184560781,0.8571946169772247,7.884370314842577,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,27.79591836734694,20.104761904761904,13.077586206896552,20.96195652173913
4500.0,4.068943813124324,0.47592055731037064,1.2680184508937167,2.325004804920237,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,21.591623036649214,22.38372093023256,18.790697674418606,21.115702479338843
5500.0,9.69734114124358,1.7518865957890348,1.4614437053461415,6.484010840108404,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.502564102564104,25.21212121212121,17.266666666666666,23.75067750677507
6500.0,7.341276407885445,1.5445810055865934,1.2787476722532602,4.5179477300455915,55.1%,66.2%,67.4%,48.2%,79.0%,6.1%,11.7%,61.8%,75.4%,59.2%,11.2%,63.6%,25.12,24.854166666666668,19.057471264367816,23.575418994413408
7000.0,7.327775783092228,2.1037646521043527,0.49280800500312694,4.731203125984749,44.4%,70.6%,43.0%,29.2%,52.7%,12.4%,58.6%,72.1%,57.1%,25.8%,73.5%,36.9%,26.602409638554217,24.99145299145299,19.767441860465116,24.498644986449865
7500.0,7.771214588951484,3.511627906976745,0.44615384615384457,3.813432835820894,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%,23.511627906976745,20.446153846153845,16.186567164179106,20.0
8000.0,7.425856868982521,2.845064336470138,1.6694689479604534,2.91132358455193,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%,23.01829268292683,18.50375939849624,17.261904761904763,20.173228346456693
8500.0,9.96383703549006,0.4575584966772759,3.1499343832020976,6.356344155610687,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,21.26595744680851,23.958333333333332,14.452054794520548,20.808398950131235
9000.0,3.13706852415649,0.694629499766247,0.3905434782608701,2.051895546129373,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,24.344086021505376,24.04,21.597560975609756,23.64945652173913
9500.0,5.240160708725188,0.2175889500830479,2.025106945284328,2.997464813357812,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%,21.096774193548388,19.289256198347108,24.311827956989248,21.314363143631436
10000.0,8.740253486129658,3.0546031746031765,0.36359126984127244,5.322059041685209,55.1%,66.2%,67.4%,48.2%,79.0%,6.1%,11.7%,61.8%,75.4%,59.2%,11.2%,63.6%,21.451428571428572,18.760416666666668,13.074766355140186,18.396825396825395
15000.0,3.132147466561424,0.8311431676711791,0.3516434877815833,1.9493608111086616,44.7%,74.8%,63.0%,16.8%,57.8%,6.9%,4.2%,2.9%,68.8%,36.8%,40.5%,58.5%,26.06896551724138,24.88617886178862,23.28846153846154,25.2378223495702
