fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,1.1574565716158633,0.5135365453949525,0.18715175352343494,0.45676827269747616,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
1500.0,0.9405865195338878,0.3908645487592856,0.17365691049901566,0.37606506027558656,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
2000.0,0.7586734693877553,0.33843537414965985,0.1593537414965987,0.2608843537414967,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
2500.0,0.7476063197909243,0.28415300546448097,0.21955729785380537,0.24389601647263795,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%
3000.0,0.4344302556826277,0.1815922184043627,0.12799288852419788,0.12484514875406713,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
3500.0,0.5472521828454032,0.22102379729498373,0.1830166067454204,0.14321177880499913,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4000.0,0.32840722495894903,0.16420361247947463,0.09630058920119766,0.06790302327827677,46.9%,75.0%,71.2%,75.3%,54.2%,36.8%,55.7%,16.9%,65.7%,41.0%,45.8%,43.4%
4500.0,0.3844921740626075,0.18694100447196418,0.04732112143102849,0.15023004815961483,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
5000.0,0.40346374218972814,0.13605558580280513,0.1691011381607945,0.09830701822612842,3.8%,74.8%,59.8%,59.3%,68.1%,49.6%,1.5%,61.8%,15.5%,24.6%,20.0%,76.8%
6000.0,0.4004626964183174,0.18236018823947323,0.1432356989703726,0.07486680920847157,50.3%,75.3%,25.3%,27.4%,37.9%,73.9%,7.1%,38.1%,10.6%,20.0%,77.2%,3.3%
7000.0,0.36456902582166323,0.14633889718033616,0.13286443769692174,0.08536569094440533,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
8000.0,0.24870838513606852,0.07223833862872406,0.07619836994059952,0.10027167656674495,68.6%,77.4%,66.8%,58.5%,9.9%,23.0%,7.3%,52.4%,76.6%,14.0%,19.9%,24.1%
