fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.9943884577268107,0.49056462926496514,0.22992650938903694,0.27389731907280845,59.5%,61.1%,47.0%,50.5%,28.5%,34.9%,35.6%,27.6%,6.7%,1.1%,16.7%,10.7%
1500.0,0.7357736112824308,0.35290592492085027,0.17663952962460427,0.20622815673697625,45.4%,53.0%,56.1%,61.6%,44.1%,37.0%,27.1%,25.3%,10.1%,11.9%,18.0%,5.5%
2000.0,0.4951742440114533,0.24540121516865712,0.12773936727425098,0.12203366156854528,45.1%,61.2%,48.2%,46.0%,32.7%,36.3%,37.8%,21.9%,5.8%,12.8%,15.9%,10.6%
2500.0,0.4822041553748871,0.24110207768744346,0.09277326106594402,0.1483288166214996,55.3%,54.4%,49.9%,48.6%,43.7%,26.9%,27.6%,33.3%,17.7%,3.4%,12.2%,7.8%
3000.0,0.265015015015015,0.0896396396396396,0.07557557557557554,0.09979979979979989,62.1%,67.0%,48.9%,55.5%,30.1%,33.6%,31.3%,30.5%,6.1%,8.9%,10.1%,9.7%
3500.0,0.24520542680348972,0.09802452054268038,0.09152926707406123,0.055651639186748134,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%
4000.0,0.2879623300675931,0.12779185039246957,0.05670236196551981,0.10346811770960372,52.1%,66.0%,62.9%,59.1%,26.2%,36.1%,36.4%,21.2%,16.4%,0.4%,6.8%,13.9%
4500.0,0.30066794387200335,0.15033397193600168,0.05734997152177292,0.09298400041422877,63.9%,66.3%,50.6%,63.6%,28.0%,39.3%,37.2%,31.1%,9.9%,13.1%,16.8%,9.4%
5000.0,0.31674757990547486,0.1283044440939179,0.05571037149984534,0.1327327643117116,48.5%,62.0%,45.4%,52.0%,34.1%,40.7%,33.0%,38.2%,16.4%,1.9%,19.5%,17.4%
6000.0,0.40880796763149707,0.17553688141923438,0.0488639900404606,0.18440709617180207,63.8%,68.5%,62.0%,62.1%,41.6%,44.9%,44.3%,21.0%,10.6%,13.6%,16.8%,14.2%
7000.0,0.3417102897989677,0.13985292655122045,0.10439140901689935,0.09746595423084792,64.0%,67.8%,49.5%,60.0%,43.5%,31.0%,43.3%,38.5%,19.2%,7.2%,17.3%,16.3%
8000.0,0.3269624828617724,0.15689559184012628,0.054785824089077256,0.11528106693256884,59.9%,66.1%,57.9%,55.7%,37.4%,37.8%,42.8%,20.1%,15.6%,5.6%,19.6%,19.1%
