,SDI_Normalized,SDI_Theil
count,30.0,30.0
mean,0.8781078587962874,0.0570655192724498
std,0.028775403220764346,0.017931920083347447
min,0.7918320901894723,0.021829764068394986
25%,0.8627757254154357,0.043945699936576973
50%,0.8821179387960827,0.05669989101757665
75%,0.8956528640496207,0.0683418994623745
max,0.9225820789355885,0.10279034713561593
