fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
1000.0,20.400222588809545,8.338530838530836,3.5780379041248622,8.483653846153846,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,12.7%,1.2%,12.0%,6.0%,30.684684684684683,18.768115942028984,13.8625,22.346153846153847
1500.0,16.378136900065186,8.362558892815077,1.1999411071849249,6.815636900065183,50.3%,59.8%,48.8%,47.1%,41.2%,27.6%,28.5%,30.1%,14.3%,1.9%,14.8%,9.1%,25.479166666666668,15.916666666666666,10.300970873786408,17.11660777385159
2000.0,6.011754701880754,2.385354141656663,1.0959383753501406,2.530462184873951,57.2%,62.0%,52.3%,51.7%,42.2%,26.2%,41.3%,36.6%,10.4%,1.8%,9.6%,19.8%,18.540816326530614,15.05952380952381,13.625,16.15546218487395
2500.0,6.717489577882368,2.9599958616408593,2.3090004813091607,1.4484932349323483,52.1%,66.0%,62.9%,59.1%,26.2%,36.1%,36.4%,21.2%,16.4%,0.4%,6.8%,13.9%,18.61682242990654,13.347826086956522,14.208333333333334,15.656826568265682
3000.0,3.3845661365073028,1.2758766370933685,0.278216930158095,1.8304725692558392,48.2%,69.5%,56.7%,63.7%,39.0%,30.0%,32.2%,25.6%,19.8%,12.0%,6.0%,19.6%,16.77777777777778,15.223684210526315,13.67142857142857,15.50190114068441
3500.0,0.8372353974353395,0.30507329595352317,0.5124045801526727,0.019757521329143657,57.0%,66.2%,59.0%,64.4%,41.6%,27.8%,37.2%,22.5%,15.4%,6.0%,17.8%,18.0%,17.442477876106196,16.625,17.11764705882353,17.137404580152673
4000.0,1.926670131732351,0.2781194070946711,0.5497644287396923,1.0987862958979875,56.8%,69.8%,54.2%,50.7%,41.6%,33.9%,40.9%,36.8%,12.7%,1.2%,12.0%,6.0%,15.811688311688311,16.083333333333332,14.434782608695652,15.53356890459364
4500.0,2.4283608386937985,0.5464163942493556,1.283285440613028,0.5986590038314148,54.0%,69.8%,58.9%,61.0%,42.4%,28.7%,37.1%,28.4%,17.8%,5.0%,8.0%,6.0%,16.357798165137616,18.1875,16.305555555555557,16.904214559386972
5000.0,2.3349639414343475,0.8824206166589956,0.04781771501925469,1.4047256097560972,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%,16.443396226415093,15.513157894736842,14.15625,15.560975609756097
6000.0,3.6589082807706212,0.8965894401909118,0.5797752808988754,2.182543559680834,54.0%,69.8%,58.9%,61.0%,42.4%,28.7%,37.1%,28.4%,17.8%,5.0%,8.0%,6.0%,17.716814159292035,17.4,14.63768115942029,16.820224719101123
7000.0,3.7920110337005557,1.0962960601810554,0.3462960601810554,2.349418913338445,48.2%,69.5%,56.7%,63.7%,39.0%,30.0%,32.2%,25.6%,19.8%,12.0%,6.0%,19.6%,17.072580645161292,16.322580645161292,13.626865671641792,15.976284584980236
8000.0,3.2767545483134644,0.8164010129599291,0.12053933495539404,2.3398142003981413,64.0%,67.8%,49.5%,60.0%,43.5%,31.0%,43.3%,38.5%,19.2%,7.2%,17.3%,16.3%,14.26530612244898,13.569444444444445,11.10909090909091,13.44890510948905
