fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.9173182457929984,0.45063510342011126,0.22331943414712802,0.24336370822575937,38.4%,58.7%,48.5%,48.0%,19.3%,36.8%,18.4%,25.0%,6.2%,12.8%,21.2%,5.5%
1500.0,0.6316744241556271,0.2596729920038191,0.12898913951545532,0.24301229263635274,33.4%,47.9%,58.3%,35.2%,24.3%,19.7%,22.2%,27.4%,6.1%,0.5%,11.4%,10.0%
2000.0,0.4730866540164454,0.19557242251739404,0.10876027830487037,0.16875395319418093,56.4%,55.0%,63.2%,57.0%,28.6%,21.2%,22.8%,23.6%,22.4%,1.0%,20.2%,11.6%
2500.0,0.32823165801889187,0.16411582900944602,0.09915517894241288,0.06496065006703303,34.1%,67.9%,53.1%,64.9%,18.4%,40.6%,31.8%,32.6%,12.6%,7.1%,16.7%,7.0%
3000.0,0.3528654705125293,0.16541751835869467,0.0912256794609736,0.09622227269286102,43.2%,69.6%,63.9%,45.7%,35.4%,41.0%,25.7%,13.2%,17.7%,0.6%,16.8%,15.1%
3500.0,0.2929750117868929,0.132013201320132,0.0846770391324846,0.07628477133427627,48.6%,69.6%,54.2%,43.5%,40.0%,28.3%,38.8%,35.2%,15.2%,1.2%,14.4%,6.0%
4000.0,0.41620024875621886,0.18226575456053065,0.10230099502487558,0.1316334991708126,43.2%,69.6%,63.9%,45.7%,35.4%,41.0%,25.7%,13.2%,17.7%,0.6%,16.8%,15.1%
4500.0,0.3767860422405877,0.17630853994490364,0.08815426997245177,0.1123232323232323,40.5%,69.1%,48.7%,43.0%,16.7%,43.2%,22.0%,13.6%,20.2%,5.0%,17.3%,10.9%
5000.0,0.2842875428150934,0.14214377140754664,0.044473130751877504,0.09767064065566923,58.3%,69.2%,56.2%,46.1%,28.5%,24.1%,35.6%,22.2%,6.1%,3.5%,22.2%,19.6%
6000.0,0.37767186246139617,0.15417973721113082,0.08255720642949194,0.1409349188207734,45.8%,69.3%,49.5%,55.4%,19.3%,27.8%,41.4%,34.0%,18.2%,9.5%,17.0%,10.0%
7000.0,0.35232013622818226,0.17616006811409102,0.10532141336739051,0.07083865474670073,43.2%,69.6%,63.9%,45.7%,35.4%,41.0%,25.7%,13.2%,17.7%,0.6%,16.8%,15.1%
8000.0,0.3645662220470026,0.150595746544889,0.0458199180848501,0.16815055741726348,57.5%,68.5%,62.5%,41.1%,18.6%,29.0%,26.0%,18.3%,18.5%,6.2%,7.7%,16.2%
