fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.9598400951731134,0.457758183313214,0.21079794957924386,0.2912839622806558,45.1%,61.2%,48.2%,46.0%,32.7%,36.3%,37.8%,21.9%,5.8%,12.8%,15.9%,10.6%
1500.0,0.7269668737060042,0.32109919066440806,0.1338854382332644,0.2719822448083317,51.0%,55.9%,48.9%,56.4%,29.7%,26.2%,29.6%,40.0%,8.0%,6.0%,16.2%,16.7%
2000.0,0.5853564762450021,0.2582529242828351,0.12704862711146492,0.2000549248507021,52.3%,55.5%,56.9%,55.0%,39.7%,34.3%,27.4%,21.5%,19.7%,2.9%,13.6%,16.3%
2500.0,0.46040129666890234,0.19047619047619047,0.09915045830538796,0.17077464788732385,52.1%,66.0%,62.9%,59.1%,26.2%,36.1%,36.4%,21.2%,16.4%,0.4%,6.8%,13.9%
3000.0,0.29004585705249847,0.12416982922201146,0.07984463946869069,0.08603138836179629,52.9%,65.9%,55.2%,52.0%,42.6%,34.6%,25.3%,39.5%,13.1%,6.8%,12.9%,10.6%
3500.0,0.2754372998275437,0.13208191227585878,0.04336043360433599,0.09999495394734896,55.7%,69.1%,59.9%,53.5%,35.7%,29.9%,31.9%,35.4%,8.0%,11.3%,12.2%,5.9%
4000.0,0.337461482024945,0.151010026901443,0.10795793592565417,0.07849351919784786,57.2%,62.0%,52.3%,51.7%,42.2%,26.2%,41.3%,36.6%,10.4%,1.8%,9.6%,19.8%
4500.0,0.3959535983286602,0.1803837484193744,0.07235142118863053,0.1432184287206553,55.4%,67.3%,58.2%,46.9%,42.8%,26.4%,27.8%,22.9%,7.6%,0.8%,6.2%,6.4%
5000.0,0.33305828042670144,0.08411282095492623,0.10619300092984296,0.14275245854193222,46.0%,68.6%,55.7%,55.2%,31.3%,38.7%,39.3%,31.8%,15.2%,5.8%,16.7%,11.7%
6000.0,0.37874615387645916,0.17554082111044128,0.05847289689434152,0.14473243587167642,49.8%,63.4%,52.5%,58.7%,27.9%,29.9%,36.7%,36.3%,18.7%,1.8%,18.2%,14.8%
7000.0,0.41029568354057183,0.18349652290030002,0.05381058911260246,0.1729885715276694,49.0%,68.4%,45.4%,62.9%,32.4%,43.0%,43.0%,32.3%,7.0%,1.3%,10.7%,7.3%
8000.0,0.27858330562021955,0.12371134020618561,0.08467353951890036,0.07019842589513359,54.1%,69.7%,63.9%,52.2%,38.6%,42.3%,32.2%,22.1%,14.5%,0.6%,13.9%,15.1%
