fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
100,0.40961565642298764,0.44626066616387927,0.49491809919919555,0.2876682039058882,32.9%,34.3%,21.7%,11.1%,11.5%,24.7%,29.5%,34.3%,5.6%,15.9%,24.9%,11.2%
500,0.41585021220750096,0.46057253918305097,0.4745113788319492,0.3124667186075028,26.8%,22.0%,34.0%,17.1%,26.3%,12.8%,28.7%,32.2%,31.3%,9.2%,35.5%,24.0%
1000,0.4437101427233687,0.4699492700848878,0.596497403398297,0.2646837546869212,22.6%,12.4%,18.9%,46.1%,10.8%,28.4%,35.2%,25.7%,42.9%,12.3%,30.1%,11.0%
2000,0.4170934746335521,0.3309860062974543,0.6371748333582614,0.28311958424494044,7.0%,29.6%,18.1%,45.3%,17.6%,24.8%,32.3%,25.3%,24.5%,13.4%,20.5%,28.9%
5000,0.4089593333633074,0.45228915569086314,0.5558534794150441,0.21873536498401486,12.9%,33.4%,23.8%,30.0%,11.5%,24.4%,27.2%,16.8%,39.1%,5.4%,18.0%,25.8%
10000,0.4159701733700741,0.4556857107616491,0.5138177390605685,0.27840707028800465,10.1%,43.6%,15.6%,12.9%,19.6%,24.8%,29.3%,17.9%,7.4%,17.8%,33.1%,18.1%
20000,0.4013676066909815,0.44662869934075955,0.45755764343019284,0.29991647730199195,10.1%,43.6%,15.6%,12.9%,19.6%,24.8%,29.3%,17.9%,7.4%,17.8%,33.1%,18.1%
30000,0.4023095874689724,0.4601150918626359,0.44806657288443813,0.29874709765984314,24.7%,21.4%,29.2%,24.7%,16.9%,8.3%,15.7%,42.0%,28.5%,14.4%,27.4%,21.3%
50000,0.42261509883956605,0.4697232118629106,0.524259494908953,0.2738625897468346,24.5%,39.0%,15.1%,21.3%,15.5%,20.2%,28.9%,15.7%,26.6%,10.4%,30.8%,32.1%
