fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
100,0.39126773127714864,0.43327957592565963,0.48682396323473237,0.25369965467105393,26.8%,22.0%,34.0%,17.1%,26.3%,12.8%,28.7%,32.2%,31.3%,9.2%,35.5%,24.0%
500,0.37014567338372495,0.35664794352659995,0.4505295366970457,0.3032595399275292,12.9%,33.4%,23.8%,30.0%,11.5%,24.4%,27.2%,16.8%,39.1%,5.4%,18.0%,25.8%
1000,0.37685152424084806,0.42545230301176395,0.4496805743742425,0.2554216953365377,19.2%,39.5%,16.6%,16.2%,30.2%,9.6%,15.2%,30.1%,33.0%,6.9%,31.4%,14.5%
2000,0.36519109555395474,0.3881115461763903,0.4071931334413855,0.30026860704408836,8.2%,36.7%,23.9%,31.2%,32.0%,10.5%,17.1%,40.4%,14.0%,11.7%,15.3%,7.2%
5000,0.3720616991921872,0.34565096706362136,0.4738457747115089,0.2966883558014312,13.7%,37.1%,18.3%,31.0%,31.7%,11.5%,28.2%,27.5%,43.3%,10.0%,19.9%,7.4%
