,Income_Level,Mean_SDI,Max_SDI,Min_SDI,Std_SDI
0,low,0.3759765461008213,0.5105265015013832,0.3012449167519607,0.05929293244347554
1,middle,0.34691162897282296,0.4878056930219011,0.11942986482217953,0.0893642415983178
2,high,0.11686649509783681,0.3004499973310365,0.0032828282828282693,0.09260760794182382
