fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.9184907210335684,0.43833314663380757,0.17871252007019905,0.30144505432956203,49.2%,55.3%,58.3%,45.1%,31.2%,28.1%,29.8%,31.6%,5.9%,0.5%,9.8%,10.0%
1500.0,0.7200000000000002,0.26550000000000007,0.15900000000000003,0.2955,49.5%,55.1%,55.6%,49.2%,38.3%,26.8%,31.9%,27.9%,6.1%,1.6%,12.2%,5.1%
2000.0,0.4406260406260407,0.21256521256521257,0.07881007881007879,0.1492507492507493,57.2%,62.0%,52.3%,51.7%,42.2%,26.2%,41.3%,36.6%,10.4%,1.8%,9.6%,19.8%
2500.0,0.38402414954139114,0.1773598049460119,0.07556019969813088,0.13110414489724834,53.3%,58.7%,50.0%,56.7%,39.2%,34.1%,30.1%,25.3%,12.1%,9.8%,8.3%,19.2%
3000.0,0.29091551785083075,0.1284498463713734,0.1137558800337167,0.04870979144574068,46.0%,68.6%,55.7%,55.2%,31.3%,38.7%,39.3%,31.8%,15.2%,5.8%,16.7%,11.7%
3500.0,0.2874119344707581,0.11522366522366523,0.06836431542313894,0.10382395382395387,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%
4000.0,0.2893271354933725,0.13541666666666663,0.06770833333333331,0.08620213549337256,46.4%,65.1%,64.8%,47.7%,43.7%,35.5%,34.3%,32.4%,8.5%,5.6%,12.1%,5.5%
4500.0,0.28817138547463267,0.1433936688477141,0.07923418740699974,0.06554352921991884,61.7%,69.5%,56.2%,52.4%,34.0%,31.1%,38.8%,28.1%,5.8%,3.5%,17.9%,19.6%
5000.0,0.29122658950245156,0.12247809661602763,0.1023229643919299,0.06642552849449403,49.0%,68.4%,45.4%,62.9%,32.4%,43.0%,43.0%,32.3%,7.0%,1.3%,10.7%,7.3%
6000.0,0.29814814814814816,0.12989417989417992,0.09219576719576719,0.07605820105820106,55.4%,67.3%,58.2%,46.9%,42.8%,26.4%,27.8%,22.9%,7.6%,0.8%,6.2%,6.4%
7000.0,0.32551528073916125,0.1478452740963716,0.06162464985994394,0.11604535678284573,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%
8000.0,0.28095238095238095,0.12380952380952376,0.08730158730158735,0.06984126984126984,46.0%,68.6%,55.7%,55.2%,31.3%,38.7%,39.3%,31.8%,15.2%,5.8%,16.7%,11.7%
