fps_value,total_system_travel_time,avg_trip_time,total_trips,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,low_trip_count,low_avg_trip_time,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,middle_trip_count,middle_avg_trip_time,high_amount,high_percentage_of_used,high_percentage_of_total_fps,high_trip_count,high_avg_trip_time
3500.0,7906.0,20.21994884910486,391,95.00114203115972,3325.03997109059,1861.4455386750935,55.98265148266932,53.18415824785981,154,26.87012987012987,813.4191862028185,24.463440839059228,23.240548177223385,113,19.292035398230087,650.1752462126801,19.553907678271525,18.576435606076576,124,12.806451612903226
4500.0,7773.0,20.951482479784367,371,80.51126635323791,3623.006985895706,2177.6061825078305,60.10494020533794,48.39124850017401,164,25.524390243902438,811.7369802762088,22.405062519511684,18.038599561693527,104,19.692307692307693,633.6638231116655,17.48999727515034,14.081418291370342,103,14.941747572815533
5500.0,7299.0,18.572519083969464,393,47.0519456298478,2587.8570096416292,867.1958937296434,33.510193588699636,15.7671980678117,139,25.87769784172662,493.3425432208487,19.06374816625466,8.969864422197249,137,17.824817518248175,1227.3185726911363,47.426058245045674,22.31488313983884,117,10.76923076923077
6500.0,7542.0,20.165775401069517,374,46.496067309888055,3022.2443751427236,1551.74169384702,51.344017929514386,23.872949136108,146,27.938356164383563,935.8592478422353,30.965704015845507,14.397834582188235,140,14.928571428571429,534.6434334534678,17.69027805464009,8.225283591591811,88,15.602272727272727
7000.0,8087.0,20.26817042606516,399,100.0,7000.0,2475.909728690198,35.37013898128854,35.37013898128854,162,24.746913580246915,2842.969567320158,40.613850961716544,40.613850961716544,137,17.99270072992701,1681.1207039896476,24.016010056994965,24.016010056994965,100,16.13
7500.0,7512.0,20.63736263736264,364,45.0344410476227,3377.583078571702,2010.5663649156834,59.526777525362995,26.80755153220911,156,27.576923076923077,745.4292998250074,22.069902722873405,9.939057331000098,106,16.735849056603772,621.5874138310122,18.403319751763632,8.287832184413496,102,14.07843137254902
8000.0,7839.0,19.795454545454547,396,59.72268288052803,4777.814630442243,1581.632114688593,33.10367264169465,19.77040143360741,170,22.470588235294116,1594.5587430755493,33.374227893139384,19.931984288444365,137,18.37226277372263,1601.6237726781037,33.522099465166036,20.020297158476296,89,16.876404494382022
8500.0,7437.0,19.519685039370078,381,73.42263460146681,6240.923941124679,2110.394582591278,33.81541903891498,24.828171559897385,153,27.516339869281047,988.6116338201379,15.8407896514435,11.630725103766327,131,16.3206106870229,3141.9177247132598,50.34379130964146,36.96373793780305,97,11.22680412371134
9000.0,7434.0,18.964285714285715,392,82.71497624985,7444.3478624865,2756.6394626273604,37.02996573438752,30.629327362526226,157,24.751592356687897,2659.156051349641,35.72047008643483,29.546178348329345,137,15.532846715328468,2028.5523485094961,27.24956417917762,22.5394705389944,98,14.489795918367347
9500.0,8084.0,22.208791208791208,364,36.65808987580185,3482.5185382011755,1853.7112352499366,53.22904142263184,19.512749844736174,140,31.071428571428573,930.4890437808089,26.718854001030934,9.794621513482198,106,20.20754716981132,698.3182591704317,20.05210457633727,7.350718517583492,118,13.491525423728813
10000.0,7632.0,21.681818181818183,352,33.14638540317176,3314.638540317176,1847.237444650285,55.729679788056885,18.472374446502847,146,29.71917808219178,970.4016155126315,29.276242453265333,9.704016155126315,119,17.50420168067227,496.99948015425855,14.99407775867775,4.969994801542586,87,13.908045977011493
15000.0,7961.0,20.25699745547074,393,51.914606583309094,7787.190987496365,1412.7490112721055,18.141959193507773,9.418326741814036,158,27.632911392405063,5744.577253355889,73.76956931684053,38.29718168903926,156,14.294871794871796,629.8647228683686,8.08847148965168,4.19909815245579,79,17.27848101265823
