fps_value,avg_mae,mae_low,mae_middle,mae_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
100,0.559670999610018,0.7282775359533593,0.6599793113998746,0.29075615147682005,9.9%,32.5%,16.4%,41.2%,35.2%,5.7%,23.8%,16.9%,21.1%,39.4%,21.7%,7.3%
250,0.561571424446342,0.7551585892073589,0.6335939893928559,0.2959616947388114,8.7%,25.4%,24.7%,41.3%,30.9%,17.2%,28.5%,23.3%,28.0%,33.2%,19.7%,5.6%
500,0.5753888692392191,0.7702441518115836,0.6381689998534699,0.3177534560526038,9.5%,35.9%,14.9%,39.7%,14.4%,16.0%,32.9%,36.7%,20.8%,33.3%,31.3%,14.6%
1000,0.5707575160051356,0.7257098877737064,0.6881154414121898,0.2984472188295107,10.1%,38.0%,15.6%,22.5%,23.5%,19.2%,29.3%,17.9%,6.3%,34.9%,33.1%,14.4%
