fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
1000.0,0.8589410447723395,0.37181454860425184,0.11804721888755498,0.3690792772805325,64.9%,67.5%,59.5%,57.0%,28.4%,28.0%,26.0%,33.5%,5.7%,13.2%,18.9%,10.1%
1500.0,0.5688311688311689,0.24109295722198948,0.09090909090909091,0.2368291207000884,49.2%,55.3%,58.3%,45.1%,31.2%,28.1%,29.8%,31.6%,5.9%,0.5%,9.8%,10.0%
2000.0,0.5353414189879604,0.2427301480841355,0.054200542005420085,0.23841072889840478,53.7%,64.4%,62.0%,56.4%,35.3%,25.4%,31.0%,39.5%,15.2%,5.1%,14.6%,19.4%
2500.0,0.2744446615855644,0.11894990554361282,0.04110481401863057,0.11438994202332103,51.7%,63.3%,47.8%,56.7%,31.2%,42.2%,29.0%,30.2%,12.6%,1.6%,6.6%,8.7%
3000.0,0.3929222182253351,0.1962628321628723,0.1265484998742157,0.07011088618824712,59.9%,66.1%,57.9%,55.7%,37.4%,37.8%,42.8%,20.1%,15.6%,5.6%,19.6%,19.1%
3500.0,0.37534500324164116,0.14604341661857628,0.08248587570621471,0.14681571091685014,47.1%,65.3%,47.1%,48.5%,25.8%,31.9%,41.0%,35.2%,7.7%,13.5%,6.8%,6.7%
4000.0,0.3357608632927461,0.12401946640506278,0.09017639025140906,0.12156500663627434,47.4%,67.6%,52.1%,60.9%,28.7%,35.6%,43.5%,38.1%,16.5%,14.4%,17.8%,12.2%
4500.0,0.38550427350427346,0.16205128205128205,0.09627350427350422,0.12717948717948718,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%
5000.0,0.38626272620116403,0.1853307438147762,0.08600988170053199,0.11492210068585587,53.7%,64.4%,62.0%,56.4%,35.3%,25.4%,31.0%,39.5%,15.2%,5.1%,14.6%,19.4%
6000.0,0.29842087736824585,0.14035087719298256,0.08109434425223902,0.07697565592302429,54.1%,69.7%,63.9%,52.2%,38.6%,42.3%,32.2%,22.1%,14.5%,0.6%,13.9%,15.1%
7000.0,0.2866101326375299,0.11599043270276153,0.047862578821482926,0.12275712111328543,54.4%,68.7%,53.2%,60.0%,40.2%,33.1%,42.8%,30.7%,7.8%,14.1%,17.3%,10.0%
8000.0,0.4067868169475134,0.1887819439794666,0.049907004426589324,0.16809786854145747,57.6%,63.7%,50.6%,51.0%,29.4%,33.7%,37.6%,20.4%,13.3%,6.6%,16.8%,18.3%
