fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
2000.0,100.0,2000.0,1201.6398501797726,60.08199250898863,60.08199250898863,559.8638911541203,27.993194557706012,27.993194557706012,238.49625866610603,11.9248129333053,11.9248129333053
3000.0,97.2278523042677,2916.8355691280312,943.1101362374269,32.33333226663043,31.437004541247564,624.1608437518892,21.398561179040954,20.805361458396305,1349.5645891387117,46.268106554328504,44.98548630462372
4000.0,82.59604188040589,3303.8416752162357,2184.9875518321214,66.13475361797155,54.62468879580303,542.3447058110386,16.41557795821261,13.558617645275964,576.5094175730749,17.449668423815815,14.412735439326871
4500.0,83.04202960208423,3736.89133209379,2659.2476100632484,71.16202676873841,59.09439133473885,781.5346605294602,20.914032308548943,17.36743690065467,296.1090615010812,7.923940922712637,6.5802013666906936
5000.0,70.73853950780277,3536.926975390138,1997.2248986027676,56.46780135692412,39.944497972055345,957.8919308472708,27.08260412251263,19.157838616945416,581.8101459400971,16.449594520563178,11.636202918801942
5500.0,96.02680591454225,5281.474325299824,2058.9408427134995,38.98420622534439,37.43528804933635,1708.3056399132079,32.34524177709089,31.060102543876507,1514.2278426731218,28.670551997564818,27.53141532132949
6000.0,100.0,6000.0,2654.870597750638,44.247843295843964,44.247843295843964,2352.591565927475,39.20985943212458,39.20985943212458,992.5378363218864,16.54229727203144,16.54229727203144
6500.0,78.30286028067947,5089.685918244165,2372.0806640145884,46.605639367878844,36.493548677147515,2150.7013758641265,42.256072583081384,33.08771347483271,566.9038783654547,11.138288049039865,8.721598128699304
7000.0,69.10257963692625,4837.180574584838,2919.1553889950424,60.348282310002155,41.70221984278632,1453.8881985066937,30.056521068194296,20.76983140723848,464.1369870830981,9.595196621803472,6.630528386901402
7500.0,91.0394788946711,6827.960917100333,2850.620330528549,41.74921861941672,38.008271073713985,2860.5445747892722,41.894565735213305,38.14059433052363,1116.7960117825157,16.356215645370032,14.890613490433543
8000.0,54.020961562989164,4321.6769250391335,2771.9366621412546,64.14030271631547,34.649208276765684,978.1741898529789,22.634135008695065,12.227177373162236,571.5660730449,13.225562274989455,7.14457591306125
8500.0,56.704699775770486,4819.899480940491,2340.3410298370222,48.5558057609193,27.533423880435553,2000.315215312483,41.50118115994751,23.533120180146856,479.24323579098615,9.943013079133198,5.638155715188073
