fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
2000.0,0.7494150165774759,0.35891775289613503,0.10588982618645346,0.28460743749488737,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
3000.0,0.6269304496046051,0.20316707184173036,0.136550702769162,0.2872126749937128,58.7%,45.2%,17.7%,23.3%,65.6%,11.7%,13.0%,16.9%,61.7%,42.0%,36.1%,27.1%
4000.0,0.5402180004803786,0.2047679503456058,0.17337786368679303,0.16207218644797994,39.0%,71.5%,9.9%,9.1%,6.3%,25.8%,38.1%,5.8%,76.3%,2.4%,35.3%,79.4%
4500.0,0.5802786947582368,0.13555943659823244,0.24085571382582188,0.2038635443341824,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
5000.0,0.5549528990214517,0.24380664026827692,0.09217519342186761,0.21897106533130725,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
5500.0,0.4572154291452535,0.22169649713509373,0.12078090850020662,0.11473802350995321,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
6000.0,0.48196554329630525,0.23615657887596167,0.1464155259719388,0.09939343844840473,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
6500.0,0.5062688831985261,0.2494040925451729,0.15379876889448893,0.10306602175886417,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%
7000.0,0.30347732956428625,0.1353391092521528,0.07300337735120352,0.09513484296092992,26.6%,79.2%,36.9%,59.0%,4.6%,38.4%,49.7%,31.1%,3.4%,16.3%,48.4%,51.9%
7500.0,0.4688971159559395,0.21266299458551977,0.1250581078414651,0.13117601352895467,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8000.0,0.4312081857536404,0.14812911390451497,0.12420538463319214,0.15887368721593323,26.6%,79.2%,36.9%,59.0%,4.6%,38.4%,49.7%,31.1%,3.4%,16.3%,48.4%,51.9%
8500.0,0.30500043108837477,0.12043749786881551,0.0833988282713023,0.10116410494825696,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
