fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_time,low_trip_count,low_avg_time,low_percentage,middle_total_time,middle_trip_count,middle_avg_time,middle_percentage,high_total_time,high_trip_count,high_avg_time,high_percentage,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,mode_public_time,mode_public_trips,mode_public_percentage,mode_walk_time,mode_walk_trips,mode_walk_percentage,mode_UberLike2_time,mode_UberLike2_trips,mode_UberLike2_percentage,mode_UberLike1_time,mode_UberLike1_trips,mode_UberLike1_percentage,mode_BikeShare2_time,mode_BikeShare2_trips,mode_BikeShare2_percentage,mode_BikeShare1_time,mode_BikeShare1_trips,mode_BikeShare1_percentage,mode_MaaS_Bundle_time,mode_MaaS_Bundle_trips,mode_MaaS_Bundle_percentage
3500.0,7837.0,21.53021978021978,364,4276.0,155,27.587096774193547,54.561694525966566,2486.0,129,19.271317829457363,31.721321934413677,1075.0,80,13.4375,13.716983539619754,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3739.0,211,47.7095827485007,1707.0,18,21.781293862447367,764.0,67,9.748628301646038,584.0,46,7.451831057802731,570.0,12,7.2731912721704735,473.0,10,6.035472757432691,,,
4500.0,6786.0,17.625974025974028,385,2993.0,163,18.36196319018405,44.10551134689066,2095.0,108,19.39814814814815,30.872384320660185,1698.0,114,14.894736842105264,25.022104332449157,26.1%,73.7%,8.9%,56.1%,71.3%,50.6%,26.7%,12.1%,41.2%,11.4%,75.7%,49.8%,3385.0,213,49.88211022693781,645.0,7,9.504862953138815,772.0,75,11.376363100501031,821.0,68,12.098437960506926,608.0,12,8.959622752726201,555.0,10,8.178603006189213,,,
5500.0,8075.0,20.13715710723192,401,4557.0,157,29.02547770700637,56.43343653250774,1804.0,145,12.441379310344828,22.340557275541794,1714.0,99,17.31313131313131,21.226006191950464,65.7%,42.7%,67.7%,64.9%,39.9%,79.1%,70.2%,72.9%,2.5%,18.8%,76.3%,41.8%,3393.0,206,42.01857585139319,1752.0,22,21.69659442724458,825.0,76,10.21671826625387,813.0,74,10.06811145510836,615.0,12,7.61609907120743,677.0,11,8.38390092879257,,,
6500.0,7669.0,18.98267326732673,404,3980.0,167,23.832335329341316,51.897248663450256,1817.0,116,15.663793103448276,23.69278915112792,1872.0,121,15.47107438016529,24.409962185421826,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%,3125.0,212,40.74846785760855,1880.0,20,24.514278263137307,877.0,76,11.435650019559263,795.0,74,10.366410222975617,486.0,12,6.3372017212152825,506.0,10,6.597991915503977,,,
7000.0,7642.0,20.487935656836463,373,3685.0,155,23.774193548387096,48.22036116199948,2550.0,131,19.46564885496183,33.36822821250981,1407.0,87,16.17241379310345,18.41141062549071,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3700.0,213,48.41664485736718,1340.0,14,17.534676786181628,761.0,65,9.958126144988224,709.0,55,9.277676001046846,655.0,13,8.571054697723108,446.0,11,5.836168542266423,31.0,2.0,0.4056529704265899
7500.0,7399.0,19.522427440633244,379,3682.0,153,24.065359477124183,49.76348155156102,2340.0,133,17.593984962406015,31.625895391269086,1377.0,93,14.806451612903226,18.610623057169885,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3726.0,228,50.35815650763617,926.0,10,12.515204757399648,641.0,58,8.663332882822003,740.0,61,10.00135153399108,714.0,12,9.649952696310313,652.0,10,8.812001621840789,,,
8000.0,7642.0,20.487935656836463,373,3827.0,132,28.992424242424242,50.07851347814708,2383.0,122,19.5327868852459,31.1829364040827,1432.0,119,12.033613445378151,18.738550117770217,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,3703.0,200,48.45590159644072,1213.0,13,15.872808165401727,833.0,73,10.900287882753206,708.0,62,9.264590421355665,568.0,12,7.432609264590422,566.0,12,7.406438105208061,51.0,1.0,0.6673645642501963
8500.0,6895.0,17.411616161616163,396,3109.0,166,18.728915662650603,45.090645395213926,2206.0,117,18.854700854700855,31.99419869470631,1580.0,113,13.982300884955752,22.91515591007977,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,3619.0,246,52.487309644670056,791.0,9,11.472081218274113,712.0,63,10.326323422770123,691.0,57,10.021754894851341,607.0,10,8.803480783176216,475.0,11,6.889050036258158,,,
9000.0,7149.0,17.394160583941606,411,2420.0,154,15.714285714285714,33.85088823611694,3259.0,135,24.14074074074074,45.58679535599385,1470.0,122,12.049180327868852,20.562316407889213,39.8%,79.2%,31.0%,64.2%,25.6%,21.4%,2.3%,45.1%,34.8%,53.6%,17.0%,58.9%,2932.0,211,41.01272905301441,1268.0,14,17.736746398097637,950.0,84,13.288571828227724,813.0,80,11.372219890893831,593.0,12,8.2948664148832,593.0,10,8.2948664148832,,,
9500.0,7960.0,19.50980392156863,408,3770.0,140,26.928571428571427,47.36180904522613,2503.0,174,14.385057471264368,31.444723618090453,1687.0,94,17.9468085106383,21.193467336683415,77.3%,51.2%,75.5%,70.3%,39.0%,62.2%,32.6%,5.6%,67.8%,25.4%,48.2%,57.7%,3437.0,216,43.178391959798994,1411.0,17,17.72613065326633,914.0,76,11.482412060301508,812.0,68,10.201005025125628,838.0,20,10.527638190954775,501.0,10,6.293969849246231,47.0,1.0,0.5904522613065326
