fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
1000.0,0,0,0,0,49.4%,63.2%,45.9%,59.6%,42.8%,42.7%,27.9%,36.7%,12.5%,12.7%,10.9%,8.8%,0,0,0,0
1500.0,0,0,0,0,60.4%,54.8%,51.9%,64.4%,41.7%,28.6%,29.6%,28.2%,15.7%,10.5%,15.0%,5.4%,0,0,0,0
2000.0,0,0,0,0,61.6%,57.8%,61.1%,46.5%,39.9%,37.2%,27.7%,24.0%,6.8%,7.4%,5.8%,7.1%,0,0,0,0
2500.0,0,0,0,0,60.4%,54.8%,51.9%,64.4%,41.7%,28.6%,29.6%,28.2%,15.7%,10.5%,15.0%,5.4%,0,0,0,0
3000.0,0,0,0,0,53.0%,55.8%,45.6%,52.1%,38.7%,26.0%,30.7%,26.6%,5.8%,12.9%,13.5%,13.1%,0,0,0,0
3500.0,0,0,0,0,63.8%,68.5%,62.0%,62.1%,41.6%,44.9%,44.3%,21.0%,10.6%,13.6%,16.8%,14.2%,0,0,0,0
4000.0,0,0,0,0,51.4%,52.3%,56.0%,51.3%,29.1%,43.7%,30.4%,20.8%,10.3%,9.9%,10.9%,11.3%,0,0,0,0
4500.0,0,0,0,0,60.7%,60.0%,63.2%,59.6%,34.1%,29.1%,30.2%,29.1%,18.0%,1.0%,16.4%,11.6%,0,0,0,0
5000.0,0,0,0,0,61.6%,57.8%,61.1%,46.5%,39.9%,37.2%,27.7%,24.0%,6.8%,7.4%,5.8%,7.1%,0,0,0,0
6000.0,0,0,0,0,56.6%,52.2%,53.8%,62.3%,26.7%,40.4%,44.7%,29.3%,17.6%,7.3%,14.1%,7.6%,0,0,0,0
7000.0,0,0,0,0,51.7%,62.5%,48.5%,53.6%,27.9%,39.5%,27.2%,30.0%,5.9%,12.8%,17.2%,5.5%,0,0,0,0
8000.0,0,0,0,0,64.7%,67.2%,55.4%,54.4%,41.5%,43.4%,26.0%,23.5%,19.3%,5.2%,17.2%,5.5%,0,0,0,0
