fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,0.0,0.0,0.0,0.0,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,0.0,0.0,0.0,0.0
4500.0,12.90093484871942,5.252428845751659,3.8927053824362616,3.755800620531499,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,25.02013422818792,15.875,16.011904761904763,19.76770538243626
5500.0,9.148586026129468,3.3175512862259815,1.5388914338066897,4.292143306096797,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,23.14457831325301,18.28813559322034,15.534883720930232,19.82702702702703
6500.0,5.947074950566346,1.3464172962002507,0.8509903961584655,3.74966725820763,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%,21.226519337016576,20.73109243697479,16.130434782608695,19.880102040816325
7000.0,8.775935458989663,3.394691097016679,0.3659913577834253,5.015253004189558,73.2%,58.6%,78.0%,79.9%,42.1%,23.4%,72.9%,62.2%,55.4%,64.3%,58.6%,48.9%,24.206060606060607,20.445378151260503,15.79611650485437,20.811369509043928
7500.0,4.889367118204575,2.0433473810957246,2.109746109746112,0.7362736273627384,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%,25.225165562913908,21.07207207207207,22.445544554455445,23.181818181818183
8000.0,5.97163672138775,0.7022128629129689,1.925745290495641,3.34367856797914,41.6%,73.1%,53.1%,33.1%,11.6%,25.0%,22.3%,71.2%,53.1%,52.9%,51.8%,26.5%,23.180722891566266,24.404255319148938,19.134831460674157,22.478510028653297
8500.0,5.190816558324769,1.8006446365635433,0.2626549518222596,3.1275169699389664,59.8%,75.5%,52.0%,25.8%,27.8%,17.9%,70.5%,71.8%,66.7%,71.3%,77.9%,9.8%,23.44943820224719,21.386138613861387,18.52127659574468,21.648793565683647
9000.0,10.591980413389958,4.2101641186148235,0.18845171431378205,6.193364580461353,72.3%,44.4%,1.0%,47.4%,19.3%,40.4%,68.7%,26.4%,73.4%,44.7%,34.5%,76.4%,26.683098591549296,22.28448275862069,16.27956989247312,22.472934472934472
9500.0,4.919119769119771,2.0151515151515156,2.8166666666666664,0.08730158730158877,10.5%,73.9%,77.6%,34.8%,35.0%,22.2%,79.6%,24.2%,64.5%,13.0%,15.4%,13.0%,27.515151515151516,22.683333333333334,25.58730158730159,25.5
10000.0,9.481283732484524,3.5598107327672466,0.048699462821602424,5.872773536895675,44.4%,78.5%,33.9%,65.4%,61.9%,2.7%,14.4%,48.5%,51.2%,77.4%,62.2%,25.0%,24.43258426966292,20.824074074074073,15.0,20.872773536895675
15000.0,9.769354971409765,2.9843987823439875,0.9487844008391946,5.836171788226583,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,22.86111111111111,18.92792792792793,14.04054054054054,19.876712328767123
