fps_value,travel_time_equity_index,deviation_low,deviation_middle,deviation_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public,avg_travel_time_low,avg_travel_time_middle,avg_travel_time_high,overall_avg_travel_time
3500.0,9.148586026129468,3.3175512862259815,1.5388914338066897,4.292143306096797,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,23.14457831325301,18.28813559322034,15.534883720930232,19.82702702702703
4500.0,10.131605951205762,3.8157007979146123,0.13967824036238952,6.17622691292876,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,21.981927710843372,18.02654867256637,11.99,18.16622691292876
5500.0,8.366490515965825,2.571887817315151,0.12752129090094044,5.667081407749734,44.7%,74.8%,63.0%,16.8%,57.8%,6.9%,4.2%,2.9%,68.8%,36.8%,40.5%,58.5%,26.618279569892472,24.17391304347826,18.379310344827587,24.04639175257732
6500.0,5.190816558324769,1.8006446365635433,0.2626549518222596,3.1275169699389664,59.8%,75.5%,52.0%,25.8%,27.8%,17.9%,70.5%,71.8%,66.7%,71.3%,77.9%,9.8%,23.44943820224719,21.386138613861387,18.52127659574468,21.648793565683647
7000.0,10.362592055275048,4.021542903374211,4.434129851964098,1.9069192999367388,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%,30.02958579881657,21.57391304347826,24.10112359550562,26.008042895442358
7500.0,4.919119769119771,2.0151515151515156,2.8166666666666664,0.08730158730158877,10.5%,73.9%,77.6%,34.8%,35.0%,22.2%,79.6%,24.2%,64.5%,13.0%,15.4%,13.0%,27.515151515151516,22.683333333333334,25.58730158730159,25.5
8000.0,5.798653593597415,1.8700204290091946,0.1140264230151864,3.8146067415730336,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,27.931818181818183,26.175824175824175,22.247191011235955,26.06179775280899
8500.0,6.945342955511954,1.242776603241719,1.7769181173436515,3.9256482349265838,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%,21.848837209302324,22.382978723404257,16.68041237113402,20.606060606060606
9000.0,5.131402994244596,1.8623027691527803,1.6796588081980808,1.5894414168937345,54.9%,77.6%,51.7%,39.3%,6.7%,26.7%,70.4%,53.3%,24.7%,25.9%,61.1%,4.7%,23.976744186046513,20.434782608695652,20.525,22.114441416893733
9500.0,6.861227228709371,3.0807275585246714,1.0293123350923494,2.75118733509235,32.3%,75.6%,51.4%,63.0%,59.1%,60.2%,2.4%,22.1%,78.7%,55.5%,16.3%,50.7%,24.53191489361702,20.421875,18.7,21.45118733509235
10000.0,7.327481153851856,2.9411867753854004,0.005785259925421116,4.380509118541035,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%,25.54491017964072,22.5979381443299,18.223214285714285,22.60372340425532
15000.0,9.2443179634996,3.4014143653833244,1.6826648469684322,4.160238751147844,22.2%,68.1%,35.3%,19.6%,78.5%,43.2%,62.6%,40.3%,16.7%,36.3%,65.3%,78.1%,26.50609756097561,21.422018348623855,18.944444444444443,23.104683195592287
