fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
3500.0,99.50191751461423,3482.5671130114983,2028.5402748564732,58.24841873908133,57.9582935673278,914.0528460558544,26.246524945371135,26.11579560159584,539.9739920991699,15.505056315547508,15.42782834569057
4500.0,100.0,4500.0,1468.4154135687263,32.631453634860584,32.631453634860584,2233.4060753403414,49.631246118674255,49.631246118674255,798.178511090938,17.73730024646529,17.73730024646529
5500.0,95.38447962981326,5246.146379639729,2519.5004217818732,48.02573621582583,45.80909857785224,1620.7315579359943,30.893754017730924,29.46784650792717,1105.9143999218622,21.080509766443253,20.107534544033857
6500.0,92.16277623742398,5990.580455432559,2371.3178487243736,39.58410819061689,36.481813057298055,996.5176994445446,16.63474360887437,15.331041529916071,2622.7449072636396,43.78114820050874,40.34992165020984
7000.0,69.75878325752727,4883.114828026909,2105.6485357824754,43.12101209860945,30.080693368321075,732.4187775145454,14.999007873228521,10.463125393064935,2045.0475147298891,41.87998002816205,29.21496449614127
7500.0,80.3061174041646,6022.958805312345,2397.3966641326856,39.804301201896706,31.965288855102475,641.2059178109076,10.646028613799482,8.549412237478768,2984.3562233687567,49.549670184303885,39.79141631158342
8000.0,51.248621082931045,4099.889686634484,1097.2794504018702,26.763633518700953,13.715993130023376,1056.47338110927,25.768336756799602,13.205917263865874,1946.1368551233452,47.46802972449947,24.326710689041814
8500.0,43.40484861915503,3689.412132628178,2441.6848042595707,66.1808634136035,28.72570357952436,804.3587917454706,21.801814566389474,9.463044608770241,443.36853662313456,12.017322020006963,5.216100430860406
9000.0,84.96717353593337,7647.045618234003,3187.083210114663,41.67731394873885,35.4120356679407,555.0425234566134,7.25826091756458,6.167139149517927,3904.9198846627282,51.06442513369659,43.387998718474755
9500.0,39.22961677646509,3726.8135937641837,2278.2148809587493,61.130368440501734,23.98120927324999,829.9928549505966,22.270844357210823,8.736766894216807,618.6058578548362,16.598787202287394,6.511640608998276
10000.0,40.209428100553964,4020.9428100553964,2490.8644067877412,61.947272678405106,24.90864406787741,946.8422895301292,23.54776812946227,9.468422895301291,583.2361137375271,14.504959192132652,5.832361137375272
15000.0,44.91079738825138,6736.619608237707,2843.4692704920244,42.20914102103908,18.956461803280163,2536.861757914027,37.657785439033674,16.912411719426846,1356.2885798316563,20.133073539927246,9.041923865544375
