fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.5445075757575758,0.20717955416231282,0.18770680947405088,0.1496212121212121,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4500.0,0.36985236985236986,0.12021756021756015,0.13894845894845892,0.11068635068635074,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
5500.0,0.4146980070279171,0.19644260318201257,0.09615733717145789,0.12209806667444667,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
6500.0,0.5620988223583573,0.08556992536967507,0.2138857782754759,0.26264311871320634,63.5%,79.8%,19.9%,70.6%,68.3%,13.8%,26.0%,44.9%,14.3%,30.7%,25.0%,71.0%
7000.0,0.33964308416863165,0.16254732313126474,0.05914256279219784,0.11795319824516909,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
7500.0,0.4952564666085161,0.2287038239020639,0.09592512376002746,0.1706275189464247,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8000.0,0.46858694945373097,0.1580776278633949,0.12191567769011738,0.1885936439002187,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
8500.0,0.39278216337039873,0.17924907336672047,0.0731149025266672,0.14041818747701101,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9000.0,0.5087997087997088,0.23532623532623534,0.06770406770406771,0.20576940576940572,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
9500.0,0.521322415260394,0.16218208748098537,0.21245911653159918,0.14668121124780947,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
10000.0,0.4158130368656684,0.20579440053124262,0.07391020285757123,0.13610843347685453,66.6%,70.0%,7.2%,32.4%,63.2%,22.8%,15.1%,25.5%,69.0%,23.4%,5.2%,53.3%
15000.0,0.46655784650630006,0.22307969235804284,0.060729831451480955,0.18274832269677632,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
