fps_value,total_system_travel_time,avg_trip_time,total_trips,low_total_travel_time,low_trip_count,low_avg_trip_time,middle_total_travel_time,middle_trip_count,middle_avg_trip_time,high_total_travel_time,high_trip_count,high_avg_trip_time,total_subsidy_used,budget_used_pct,terminated_early,termination_reason
300.0,9601.0,26.59556786703601,361.0,6988.0,141.0,49.56028368794326,1663.0,125.0,13.304,950.0,95.0,10.0,300.0,100.0,False,
600.0,9619.0,26.645429362880886,361.0,6836.0,148.0,46.189189189189186,1824.0,120.0,15.2,959.0,93.0,10.311827956989248,600.0,100.0,False,
900.0,9695.0,26.85595567867036,361.0,6751.0,153.0,44.12418300653595,1976.0,117.0,16.88888888888889,968.0,91.0,10.637362637362637,900.0,100.0,False,
1200.0,9599.0,26.37087912087912,364.0,6655.0,156.0,42.66025641025641,1976.0,117.0,16.88888888888889,968.0,91.0,10.637362637362637,1200.0,100.0,False,
1500.0,9637.0,26.548209366391184,363.0,6655.0,156.0,42.66025641025641,2014.0,116.0,17.362068965517242,968.0,91.0,10.637362637362637,1500.0,100.0,False,
1800.0,9170.0,25.05464480874317,366.0,6197.0,157.0,39.47133757961783,2014.0,116.0,17.362068965517242,959.0,93.0,10.311827956989248,1800.0,100.0,False,
2000.0,8658.0,23.65573770491803,366.0,5678.0,158.0,35.936708860759495,2028.0,115.0,17.63478260869565,952.0,93.0,10.236559139784946,2000.0,100.0,False,
2300.0,8237.0,22.505464480874316,366.0,5247.0,158.0,33.20886075949367,2037.0,114.0,17.86842105263158,953.0,94.0,10.138297872340425,2300.0,100.0,False,
2600.0,7877.0,21.463215258855588,367.0,4814.0,158.0,30.468354430379748,2110.0,115.0,18.347826086956523,953.0,94.0,10.138297872340425,2600.0,100.0,False,
3000.0,7745.0,21.103542234332426,367.0,4682.0,158.0,29.632911392405063,2110.0,115.0,18.347826086956523,953.0,94.0,10.138297872340425,2668.7331635609326,88.95777211869775,False,
3500.0,7745.0,21.103542234332426,367.0,4682.0,158.0,29.632911392405063,2110.0,115.0,18.347826086956523,953.0,94.0,10.138297872340425,2668.7331635609326,76.24951895888378,False,
4500.0,7745.0,21.103542234332426,367.0,4682.0,158.0,29.632911392405063,2110.0,115.0,18.347826086956523,953.0,94.0,10.138297872340425,2668.7331635609326,59.30518141246517,False,
6500.0,7745.0,21.103542234332426,367.0,4682.0,158.0,29.632911392405063,2110.0,115.0,18.347826086956523,953.0,94.0,10.138297872340425,2668.7331635609326,41.05743328555281,False,
