,SDI_Normalized,SDI_Theil
count,15.0,15.0
mean,-0.8312953232380835,0.0956063145064769
std,0.2343638790444934,0.03762666762811359
min,-1.5156124013517354,0.04153779504805548
25%,-0.8625024828015813,0.06753791696443746
50%,-0.8269339148677595,0.07687519608811037
75%,-0.7066144743720428,0.12412345672241383
max,-0.5381109583426633,0.15731521339067395
