fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,393,18.572519083969464,7299.0,2587.8570096416292,73.93877170404654,139,137,117
4500.0,374,20.165775401069517,7542.0,3022.2443751427236,67.16098611428275,146,140,88
5500.0,364,20.63736263736264,7512.0,3377.583078571702,61.410601428576406,156,106,102
6500.0,381,19.519685039370078,7437.0,6240.923941124679,96.01421447884123,153,131,97
7000.0,393,19.536895674300254,7678.0,7000.0,100.0,157,138,98
7500.0,364,22.208791208791208,8084.0,3482.5185382011755,46.43358050934901,140,106,118
8000.0,400,18.9,7560.0,3331.764613776637,41.64705767220796,176,116,108
8500.0,379,21.30079155672823,8073.0,2304.323699457133,27.10969058184862,160,130,89
9000.0,388,20.561855670103093,7978.0,2662.103633055778,29.578929256175314,136,132,120
9500.0,403,17.84863523573201,7193.0,5307.036634145336,55.86354351731933,194,116,93
10000.0,379,18.862796833773086,7149.0,3676.956759297551,36.76956759297551,154,107,118
15000.0,376,19.18882978723404,7215.0,5354.213718288944,35.69475812192629,166,113,97
