fps_value,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
3500.0,53.531790564456095,1873.6126697559635,682.7835603611824,36.442087064351156,19.50810172460521,765.2417393649292,40.84311297193573,21.864049696140835,425.58737002985134,22.714799963713084,12.159639143710038
4500.0,41.635837105688076,1873.6126697559635,682.7835603611824,36.442087064351156,15.172968008026274,765.2417393649292,40.84311297193573,17.005371985887315,425.58737002985134,22.714799963713084,9.457497111774474
5500.0,34.06568490465388,1873.6126697559635,682.7835603611824,36.442087064351156,12.414246552021497,765.2417393649292,40.84311297193573,13.913486170271442,425.58737002985134,22.714799963713084,7.737952182360934
6500.0,28.8248103039379,1873.6126697559635,682.7835603611824,36.442087064351156,10.504362467095113,765.2417393649292,40.84311297193573,11.772949836383527,425.58737002985134,22.714799963713084,6.547498000459251
7000.0,26.765895282228048,1873.6126697559635,682.7835603611824,36.442087064351156,9.754050862302606,765.2417393649292,40.84311297193573,10.932024848070418,425.58737002985134,22.714799963713084,6.079819571855019
7500.0,24.981502263412846,1873.6126697559635,682.7835603611824,36.442087064351156,9.103780804815765,765.2417393649292,40.84311297193573,10.20322319153239,425.58737002985134,22.714799963713084,5.674498267064684
8000.0,23.420158371949544,1873.6126697559635,682.7835603611824,36.442087064351156,8.53479450451478,765.2417393649292,40.84311297193573,9.565521742061616,425.58737002985134,22.714799963713084,5.3198421253731425
8500.0,22.042501997128984,1873.6126697559635,682.7835603611824,36.442087064351156,8.032747768955087,765.2417393649292,40.84311297193573,9.002843992528579,425.58737002985134,22.714799963713084,5.00691023564531
9000.0,20.817918552844038,1873.6126697559635,682.7835603611824,36.442087064351156,7.586484004013137,765.2417393649292,40.84311297193573,8.502685992943658,425.58737002985134,22.714799963713084,4.728748555887237
9500.0,19.722238629010143,1873.6126697559635,682.7835603611824,36.442087064351156,7.1871953722229724,765.2417393649292,40.84311297193573,8.055176203841361,425.58737002985134,22.714799963713084,4.479867052945804
10000.0,18.736126697559634,1873.6126697559635,682.7835603611824,36.442087064351156,6.827835603611823,765.2417393649292,40.84311297193573,7.6524173936492925,425.58737002985134,22.714799963713084,4.255873700298514
15000.0,12.490751131706423,1873.6126697559635,682.7835603611824,36.442087064351156,4.551890402407882,765.2417393649292,40.84311297193573,5.101611595766195,425.58737002985134,22.714799963713084,2.837249133532342
