fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.6042132064264709,0.18252966230605416,0.1794008141741636,0.242282729946253,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
4500.0,0.49336930174368604,0.23807178043631252,0.05670498084291188,0.19859254046446165,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
5500.0,0.37123629165997973,0.16076071256620128,0.07296849087893867,0.13750708821483973,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
6500.0,0.3698523698523698,0.12021756021756014,0.13894845894845892,0.11068635068635074,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
7000.0,0.2783638235527045,0.12285182545339349,0.06691217232913604,0.08859982577017497,58.5%,79.7%,19.5%,26.9%,75.1%,49.1%,47.9%,58.7%,61.3%,38.0%,31.9%,50.6%
7500.0,0.39053261294668073,0.18128314446520621,0.10964877127080011,0.09960069721067438,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
8000.0,0.48631138975966576,0.1693486590038315,0.1423564134997892,0.17460631725604503,75.1%,78.3%,12.6%,42.2%,27.9%,72.5%,8.0%,77.6%,4.4%,31.9%,49.2%,65.8%
8500.0,0.36150732448613376,0.16699887242461303,0.12283486170619526,0.07167359035532547,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
9000.0,0.33964308416863165,0.16254732313126474,0.05914256279219784,0.11795319824516909,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
9500.0,0.5093105649803722,0.23820379619317872,0.12624699472468373,0.1448597740625097,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
10000.0,0.46858694945373097,0.1580776278633949,0.12191567769011738,0.18859364390021874,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
15000.0,0.5472089645154594,0.26653800926886634,0.15408867676558058,0.1265822784810126,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
