fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count
3500.0,367,20.670299727520437,7586.0,3213.1150456294195,91.80328701798342,165,101,101
4500.0,367,19.42506811989101,7129.0,3573.1338606971035,79.40297468215786,155,123,89
5500.0,391,19.465473145780052,7611.0,3576.7073879115783,65.03104341657415,175,125,91
6500.0,400,17.8525,7141.0,3356.5116800642663,51.638641231757944,176,119,105
7000.0,389,19.776349614395887,7693.0,4920.399191927713,70.29141702753876,162,124,103
7500.0,374,20.898395721925134,7816.0,5371.856066846674,71.62474755795566,154,135,85
8000.0,372,20.024193548387096,7449.0,3552.9132727753304,44.411415909691634,180,96,96
8500.0,364,19.71153846153846,7175.0,6062.168368402236,71.31962786355572,176,86,102
9000.0,424,17.375,7367.0,5858.598543683784,65.09553937426426,199,104,121
9500.0,413,18.239709443099272,7533.0,5650.47999847741,59.478736826078006,178,119,116
10000.0,381,20.20997375328084,7700.0,3023.881520605926,30.23881520605926,182,112,87
15000.0,381,19.430446194225723,7403.0,3372.634914813181,22.484232765421204,184,118,79
