fps_value,avg_equity,equity_low,equity_middle,equity_high,alloc_low_bike,alloc_low_car,alloc_low_MaaS_Bundle,alloc_low_public,alloc_middle_bike,alloc_middle_car,alloc_middle_MaaS_Bundle,alloc_middle_public,alloc_high_bike,alloc_high_car,alloc_high_MaaS_Bundle,alloc_high_public
3500.0,0.5470424899909596,0.2271478181009371,0.12538206552154635,0.19451260636847617,26.6%,79.2%,36.9%,59.0%,4.6%,38.4%,49.7%,31.1%,3.4%,16.3%,48.4%,51.9%
4500.0,0.2691919191919193,0.12070707070707071,0.049494949494949564,0.09898989898989902,60.5%,59.6%,61.4%,79.8%,52.5%,21.3%,69.7%,59.7%,44.2%,8.9%,9.3%,78.2%
5500.0,0.4927543217016902,0.16811258916522076,0.19200244200244204,0.13263929053402734,57.2%,76.9%,27.0%,20.9%,42.4%,30.2%,10.4%,32.1%,28.4%,7.1%,12.2%,10.3%
6500.0,0.572814766932414,0.2684335272570566,0.11976585505997273,0.18461538461538463,72.2%,69.3%,8.4%,41.8%,67.1%,62.7%,73.3%,51.9%,26.6%,50.5%,59.8%,8.6%
7000.0,0.5247371495842578,0.2592484019262727,0.09971877368188903,0.16576997397609602,48.2%,70.3%,6.0%,60.7%,51.6%,57.5%,59.7%,27.9%,62.5%,26.8%,50.2%,55.4%
7500.0,0.35490939241981195,0.17042452468959834,0.07638565626895716,0.10809921146125648,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8000.0,0.4501876724098945,0.21304210193099077,0.08741464297019844,0.1497309275087053,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
8500.0,0.3849863594636877,0.19249317973184382,0.0943459653750178,0.09814721435682605,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
9000.0,0.47340071415602497,0.19743522497259713,0.10532792672839877,0.170637562455029,60.3%,79.8%,45.5%,27.6%,78.0%,73.0%,14.1%,48.2%,18.6%,42.6%,20.8%,38.9%
9500.0,0.3695005232063694,0.1847502616031847,0.09972577202774185,0.08502448957544284,63.9%,72.2%,29.2%,43.3%,78.7%,52.7%,5.7%,27.0%,69.9%,9.8%,30.5%,79.6%
10000.0,0.4769365976145637,0.2034567901234567,0.16691358024691363,0.10656622724419333,46.9%,75.0%,71.2%,75.3%,54.2%,36.8%,55.7%,16.9%,65.7%,41.0%,45.8%,43.4%
15000.0,0.41576992638563776,0.19517332946207683,0.09723053937491305,0.1233660575486478,59.0%,76.7%,79.7%,78.3%,15.4%,67.6%,75.8%,68.1%,46.1%,46.5%,34.6%,61.0%
