fps_value,total_system_travel_time,percentage_used,total_subsidy_used,low_amount,low_percentage_of_used,low_percentage_of_total_fps,middle_amount,middle_percentage_of_used,middle_percentage_of_total_fps,high_amount,high_percentage_of_used,high_percentage_of_total_fps
1000.0,4766.0,100.0,1000.0,541.1593322476436,54.11593322476437,54.11593322476437,331.77518968399863,33.17751896839986,33.17751896839986,127.06547806835813,12.706547806835813,12.706547806835813
1500.0,4417.0,100.0,1500.0,581.554702510559,38.77031350070393,38.77031350070393,859.226439724097,57.28176264827313,57.28176264827313,59.218857765345405,3.9479238510230266,3.9479238510230266
2000.0,3843.0,99.03004654753535,1980.6009309507072,1414.2213363869955,71.40364897779564,70.71106681934978,515.553839732879,26.03017254391617,25.77769198664395,50.825754830832544,2.566178478288188,2.5412877415416273
2500.0,3780.0,74.21841770074639,1855.4604425186596,914.1366741010619,49.26737607298081,36.56546696404248,830.0602336427933,44.73607815190302,33.20240934571173,111.26353477480399,5.996545775116144,4.45054139099216
3000.0,3899.0,99.59892226083637,2987.967667825091,2345.177960578337,78.48739415193761,78.17259868594458,609.6044425181017,20.401975867490762,20.320148083936722,33.1852647286516,1.1106299805716033,1.1061754909550534
3500.0,3782.0,52.48814749953993,1837.0851624838974,1152.3752875829853,62.728463062913995,32.92500821665672,422.5101112577113,22.998939836106523,12.071717464506037,262.1997636431994,14.272597100979398,7.491421818377125
4000.0,3740.0,51.057797620204525,2042.3119048081812,1127.5480845812453,55.20939685689916,28.188702114531132,674.2935458775352,33.01618838386326,16.85733864693838,240.47027434940176,11.774414759237635,6.011756858735044
4500.0,3942.0,34.06875104512915,1533.0937970308116,971.8257759215112,63.38984462683725,21.59612835381136,455.5913299272905,29.717120427311606,10.12425177616201,105.67669118201013,6.8930349458511495,2.3483709151557806
5000.0,3832.0,44.64152001130968,2232.076000565484,971.7499145294731,43.535700141181835,19.434998290589462,929.5188898798577,41.64369356797749,18.590377797597153,330.8071961561544,14.820606290840738,6.616143923123088
6000.0,3936.0,38.1797777623915,2290.78666574349,1402.70734122619,61.23256094521277,23.378455687103166,654.4196592862017,28.567464141136227,10.906994321436695,233.6596652310986,10.199974913651017,3.894327753851643
7000.0,3761.0,30.106493763510283,2107.45456344572,1290.8722300919012,61.25267194284396,18.44103185845573,700.7301555984661,33.25007180476346,10.010430794263801,115.85217775535362,5.497256252392629,1.655031110790766
8000.0,3801.0,27.593699796629934,2207.4959837303945,1227.4791395515915,55.60504520045848,15.343489244394895,784.9992169533821,35.560618127459996,9.812490211917275,195.01762722542156,8.834336672081548,2.4377203403177696
