,MSI,PRI,TUD,BSR
count,8.0,8.0,8.0,8.0
mean,0.7032151212602495,0.38617629575673806,0.4879432619705435,0.5840048082665343
std,0.013272402622890762,0.044299834169967064,0.05433308515571451,0.03437626102353725
min,0.6849160965505143,0.2815694738961904,0.40052615910928946,0.5053470868521156
25%,0.6951531478056413,0.38853883822694213,0.46375073045500664,0.5858659015925249
50%,0.6991527632058401,0.39446004051565453,0.4843666482385992,0.5898975917699076
75%,0.7146243957627387,0.40729346641854797,0.5117636678257643,0.5942984712957514
max,0.7236444326647568,0.42777651680741663,0.57589791745573,0.6247758095357469
