fps,avg_pct_used,avg_low_pct,avg_middle_pct,avg_high_pct
1000.0,100.0,59.245602818225606,34.264345254595874,6.490051927178523
1500.0,98.72422982104405,56.17195453702946,40.46943184336895,3.358613619601638
2000.0,94.24135695405408,61.30291732544987,34.4620742094713,4.235008465078835
2500.0,81.28453701272787,60.957199466759604,31.504259814495693,7.538540718744716
3000.0,79.13632881791327,67.03939178941214,27.380466644617858,5.580141565970001
3500.0,54.07940039681101,59.89417931217877,33.550711971419865,6.555108716401354
4000.0,54.60865575038925,57.910222754795825,34.64012787255524,7.449649372648925
4500.0,52.71601958386022,57.46673256768847,35.444427932584304,7.088839499727237
5000.0,46.72392852479118,55.434374669023434,35.900456029397205,8.6651693015794
6000.0,35.05858253105394,59.65490321100485,35.90019140105099,4.444905387944175
7000.0,31.494552061407745,56.557099651494,36.65173938560628,6.791160962899735
8000.0,28.471293371938998,60.505546286719536,33.37133700793726,6.123116705343202
